map,x,y,radius,openerId,loopId
P200_Collosseum.map,130,105,28,240,241
P200_Collosseum.map,130,150,26,240,241
P200_Collosseum.map,119,128,8,240,241
P201_Blackwater_Coast.map,165,216,18,35,10
P201_Blackwater_Coast.map,86,71,24,119,10
P201_Blackwater_Coast.map,153,55,20,206,216
P201_Blackwater_Coast.map,160,71,12,206,216
P201_Blackwater_Coast.map,167,84,12,206,216
P201_Blackwater_Coast.map,177,95,15,206,216
P201_Blackwater_Coast.map,191,106,30,206,216
P201_Blackwater_Coast.map,217,102,19,206,216
P201_Blackwater_Coast.map,218,39,50,35,10
P202_City_Of_Souls.map,376,259,100,116,124
P202_City_Of_Souls.map,4,403,270,208,227
P203_Onyx_Shores.map,102,394,80,130,133
P203_Onyx_Shores.map,189,388,38,130,133
P203_Onyx_Shores.map,279,399,65,130,133
P203_Onyx_Shores.map,356,368,55,130,133
P203_Onyx_Shores.map,420,386,60,130,133
P204_Empyria.map,175,332,20,242,243
P204_Empyria.map,175,317,20,242,243
P204_Empyria.map,175,300,20,242,243
P204_Empyria.map,175,280,20,242,243
P205_Dryad_Cove.map,233,427,35,35,10
P205_Dryad_Cove.map,167,317,20,20,40
P205_Dryad_Cove.map,129,322,30,20,40
P205_Dryad_Cove.map,136,293,20,20,40
P205_Dryad_Cove.map,136,270,25,20,40
P205_Dryad_Cove.map,227,274,30,35,10
P206_Red_Waste.map,160,150,24,35,10
P206_Red_Waste.map,76,310,15,114,122
P206_Red_Waste.map,86,297,20,114,122
P206_Red_Waste.map,104,289,35,114,122
P206_Red_Waste.map,134,298,30,114,122
P206_Red_Waste.map,305,153,50,116,124
P206_Red_Waste.map,507,350,320,211,220
P207_Raven_Pass.map,374,42,150,35,10
P207_Raven_Pass.map,210,77,40,35,10
P207_Raven_Pass.map,111,141,40,21,41
P207_Raven_Pass.map,118,180,50,21,41
P207_Raven_Pass.map,176,300,40,26,46
P207_Raven_Pass.map,193,444,60,49,56
P207_Raven_Pass.map,250,444,60,49,56
P207_Raven_Pass.map,310,444,60,49,56
P207_Raven_Pass.map,353,433,60,49,56
P208_Blazing_Stones.map,169,277,10,54,61
P208_Blazing_Stones.map,170,264,20,54,61
P208_Blazing_Stones.map,262,82,32,54,61
P208_Blazing_Stones.map,31,36,260,54,61
P208_Blazing_Stones.map,425,416,75,13,219
P208_Blazing_Stones.map,390,390,65,13,219
P208_Blazing_Stones.map,353,339,30,13,219
P209_Kathai.map,388,129,30,209,10
P209_Kathai.map,396,428,66,25,10
P209_Kathai.map,49,442,20,35,10
P209_Kathai.map,412,267,50,212,10
P209_Kathai.map,72,348,15,242,243
P209_Kathai.map,190,429,15,242,243
P210_The_Clockwork_Crypts.map,139,360,40,213,221
P210_The_Clockwork_Crypts.map,223,359,40,35,10
P210_The_Clockwork_Crypts.map,310,366,40,210,219
P210_The_Clockwork_Crypts.map,138,274,40,21,41
P210_The_Clockwork_Crypts.map,223,275,40,114,122
P210_The_Clockwork_Crypts.map,313,278,40,35,10
P210_The_Clockwork_Crypts.map,310,188,40,26,46
P210_The_Clockwork_Crypts.map,225,187,40,118,126
P210_The_Clockwork_Crypts.map,138,189,40,35,10
P210_The_Clockwork_Crypts.map,438,423,70,130,133
P210_The_Clockwork_Crypts.map,433,372,75,130,133
P210_The_Clockwork_Crypts.map,426,300,80,130,133
P210_The_Clockwork_Crypts.map,426,220,80,130,133
P210_The_Clockwork_Crypts.map,437,120,80,130,133
P211_Darkwind_Keep.map,406,243,20,35,10
P211_Darkwind_Keep.map,422,225,10,35,10
P211_Darkwind_Keep.map,431,213,10,35,10
P211_Darkwind_Keep.map,180,131,25,13,10
P211_Darkwind_Keep.map,288,91,30,131,134
P211_Darkwind_Keep.map,320,90,20,131,134
P211_Darkwind_Keep.map,354,92,45,131,134
P212_The_Gorge.map,257,243,100,211,220
P212_The_Gorge.map,88,93,90,54,61
P212_The_Gorge.map,432,98,80,20,40
P212_The_Gorge.map,263,58,70,35,10
P213_The_Bone_Temple.map,444,229,60,207,216
P213_The_Bone_Temple.map,430,192,50,207,216
P213_The_Bone_Temple.map,483,100,80,207,216
P213_The_Bone_Temple.map,109,409,100,70,71
P213_The_Bone_Temple.map,195,415,70,70,71
P213_The_Bone_Temple.map,122,150,125,210,219
P101_Mirraw_Thur.map,101,369,30,35,10
P101_Mirraw_Thur.map,271,289,43,13,10
P101_Mirraw_Thur.map,228,295,35,13,10
P101_Mirraw_Thur.map,205,285,28,13,10
P102_Stormcleaver_Rocks.map,136,104,14,35,10
P102_Stormcleaver_Rocks.map,123,108,18,35,10
P102_Stormcleaver_Rocks.map,300,392,20,95,10
P102_Stormcleaver_Rocks.map,318,388,8,95,10
P102_Stormcleaver_Rocks.map,183,378,20,35,10
P102_Stormcleaver_Rocks.map,194,346,20,35,10
P103_Echo_Swamps.map,510,409,210,114,122
P103_Echo_Swamps.map,94,249,80,48,55
P104_Frostfall.map,370,1,270,54,61
P104_Frostfall.map,164,284,70,131,134
P104_Frostfall.map,90,510,160,131,134
P104_Frostfall.map,228,426,60,131,134
P104_Frostfall.map,339,436,50,131,134
P104_Frostfall.map,508,508,140,131,134
P105_Tirganach.map,240,255,65,120,128
P105_Tirganach.map,240,330,35,118,126
P105_Tirganach.map,208,327,40,118,126
P105_Tirganach.map,284,350,30,118,126
P105_Tirganach.map,299,372,32,118,126
P108_Fastholme.map,135,342,70,119,10
P108_Fastholme.map,367,276,130,116,124
P109_Nevershade_Frontier.map,100,115,110,51,58
P109_Nevershade_Frontier.map,100,225,110,51,58
P109_Nevershade_Frontier.map,130,305,110,51,58
P109_Nevershade_Frontier.map,135,385,140,51,58
P110_Shaldun.map,381,274,140,117,125
P110_Shaldun.map,142,254,30,21,41
P110_Shaldun.map,142,224,30,21,41
P111_Firefangs.map,308,107,60,20,40
P111_Firefangs.map,360,168,15,20,40
P111_Firefangs.map,242,361,50,35,10
P113_The_Abyss.map,153,209,40,118,126
P113_The_Abyss.map,184,203,40,118,126
P113_The_Abyss.map,210,210,20,118,126
P113_The_Abyss.map,230,210,20,118,126
