file,campaign,youtubeCode
arena.mp3,3,mXGiu2lbtAQ
army_of_darkness.mp3,3,zAizACYbfVA
atmo_oasis.mp3,3,
battle_blade.mp3,1,2Bk8lCLMXdk
battle_music1.mp3,1,mNGS0X0JfLY
battle_music2.mp3,1,plCtK0ah1Fw
battle_of_the_undead.mp3,3,sBSRx8Z4AS0
battle_on.mp3,2,HkiD5-dpgsg
battlefields.mp3,1,OUV0AOiIwi8
black_gate.mp3,2,qn5-AtF5rfM
bone_temple.mp3,3,BFepTUN6_QY
bone_temple_whisper.mp3,3,BFepTUN6_QY
call_of_the_dead.mp3,2,KtZWUuJyCzs
celtic_march.mp3,1,doOhKl7nHsc
city_of_souls.mp3,3,skjfzrugSaw
close_combat.mp3,2,elnvbUhOP78
combat_and_fight.mp3,3,8evh3w7P_TU
combat_music1.mp3,1,QcDLkc5PWfU
combat_music2.mp3,1,S9Pwlz3lgAY
deadzone.mp3,1,SWnEAQtvYj0
death_music.mp3,1,KE4pleukNSc
despair.mp3,2,vX0s2q3ZYY8
doomsday.mp3,2,G0iLi1N91qA
dungeon_dimension.mp3,2,CFwKC-JsV4s
elvensong_menu.mp3,2,nve9kviw51k
elves_and_angels.mp3,1,x4YLdP6E3hI
empyria.mp3,3,yymdel6cboc
entry_desertworld.mp3,1,DauHhxNMAjE
entry_iceworld.mp3,1,IRG2Yask1uQ
entry_lavaworld.mp3,1,chNkLMMjd2Y
entry_mountainworld.mp3,1,2Jl4dyJBn0E
entry_silence.mp3,,
entry_swampworld.mp3,1,vpg3I4Feo0w
entry_waterworld.mp3,1,Xi6SqPbukoc
entry_waterworld2.mp3,1,N3n55lrd1uQ
era_of_the_orcs.mp3,1,0mb_mtzT1uM
forbidden_zone.mp3,1,cayHC4HUmQc
human_village.mp3,2,UuaLJQ8cRxs
ice_elves.mp3,2,zGHabsSnnGQ
kraga_and_braga.mp3,1,Jahkr8LMpMg
location_loop_silence.mp3,,
location_opener_silence.mp3,,
night_silence.mp3,,
ogre_battle.mp3,1,AGlDhwpFNCI
order_of_dawn.mp3,1,gdsEKg2tozw
plain_darkened.mp3,2,7Ca6YK1k8Ac
plain_desertworld.mp3,1,007aXhehBmk
plain_enchanted.mp3,2,LpchSVMNJyU
plain_iceworld.mp3,1,0Zj3sOhsBAs
plain_lavaworld.mp3,1,rx6Cad_Ktcc
plain_mountainworld.mp3,1,gen6YX79jLM
plain_mystified.mp3,2,vTG3NdRVUNE
plain_silence.mp3,,
plain_swampworld.mp3,1,C3QKz_NxHvM
plain_waterworld.mp3,1,7H1p4nvMtyk
plain_waterworld2.mp3,1,PrRN-Vg7xNM
plain_world.mp3,1,R1mOewt7UFg
plains_of_blackwater.mp3,3,TQyXn_8AkAQ
plains_of_devastation.mp3,3,KvJF9WeoVc0
plains_of_myth.mp3,3,MV8gs6yaAmk
red_legion.mp3,,
rune_master.mp3,2,_3OXNSO3iU0
runewarrior.mp3,1,WaprGJ4Vc1Q
sharrowdale.mp3,1,pkzVd6ELEkc
spellforce.mp3,1,uOlCCK34exo
strategy_and_gameplay.mp3,1,izSh8Q83mCc
the_clockwork_crypts.mp3,3,2FSrVpod_0o
the_gorge.mp3,3,3XdEenN5w1I
the_kathai.mp3,3,QFYaFtZ25r0
whisper.mp3,3,VaIDyoWpP8Y

