id,file,type
1,combat_music1.mp3,Combat
2,elves_and_angels.mp3,LocationOpener
3,entry_waterworld.mp3,PlatformOpener
4,plain_waterworld.mp3,PlatformPlain
5,spellforce.mp3,MainMenu
6,death_music.mp3,Death
7,entry_iceworld.mp3,PlatformOpener
8,plain_iceworld.mp3,PlatformPlain
9,era_of_the_orcs.mp3,LocationOpener
10,location_loop_silence.mp3,LocationLoop
11,plain_desertworld.mp3,PlatformPlain
12,plain_waterworld2.mp3,PlatformPlain
13,runewarrior.mp3,LocationOpener
14,entry_desertworld.mp3,PlatformOpener
15,entry_waterworld2.mp3,PlatformOpener
16,plain_mountainworld.mp3,PlatformPlain
17,battle_music1.mp3,Battle
18,combat_music2.mp3,Combat
19,kraga_and_braga.mp3,LocationOpener
20,deadzone.mp3,LocationOpener
21,forbidden_zone.mp3,LocationOpener
22,celtic_march.mp3,LocationOpener
23,ogre_battle.mp3,LocationOpener
24,red_legion.mp3,LocationOpener
25,order_of_dawn.mp3,LocationOpener
26,battlefields.mp3,LocationOpener
27,strategy_and_gameplay.mp3,LocationOpener
28,entry_swampworld.mp3,PlatformOpener
29,entry_lavaworld.mp3,PlatformOpener
30,entry_mountainworld.mp3,PlatformOpener
31,plain_lavaworld.mp3,PlatformPlain
32,plain_swampworld.mp3,PlatformPlain
33,plain_silence.mp3,PlatformPlain
34,entry_silence.mp3,PlatformOpener
35,location_opener_silence.mp3,LocationOpener
36,elves_and_angels.mp3,LocationLoop
37,era_of_the_orcs.mp3,LocationLoop
38,runewarrior.mp3,LocationLoop
39,kraga_and_braga.mp3,LocationLoop
40,deadzone.mp3,LocationLoop
41,forbidden_zone.mp3,LocationLoop
42,celtic_march.mp3,LocationLoop
43,ogre_battle.mp3,LocationLoop
44,red_legion.mp3,LocationLoop
45,order_of_dawn.mp3,LocationLoop
46,battlefields.mp3,LocationLoop
47,strategy_and_gameplay.mp3,LocationLoop
48,plain_waterworld.mp3,LocationOpener
49,plain_iceworld.mp3,LocationOpener
50,plain_desertworld.mp3,LocationOpener
51,plain_waterworld2.mp3,LocationOpener
52,plain_mountainworld.mp3,LocationOpener
53,plain_lavaworld.mp3,LocationOpener
54,plain_swampworld.mp3,LocationOpener
55,plain_waterworld.mp3,LocationLoop
56,plain_iceworld.mp3,LocationLoop
57,plain_desertworld.mp3,LocationLoop
58,plain_waterworld2.mp3,LocationLoop
59,plain_mountainworld.mp3,LocationLoop
60,plain_lavaworld.mp3,LocationLoop
61,plain_swampworld.mp3,LocationLoop
62,night_silence.mp3,Night
63,order_of_dawn.mp3,PlatformOpener
64,runewarrior.mp3,PlatformOpener
65,sharrowdale.mp3,PlatformOpener
66,deadzone.mp3,PlatformOpener
67,battlefields.mp3,PlatformOpener
68,forbidden_zone.mp3,PlatformOpener
69,strategy_and_gameplay.mp3,PlatformOpener
70,plain_world.mp3,LocationOpener
71,plain_world.mp3,LocationLoop
72,celtic_march.mp3,PlatformOpener
73,plain_world.mp3,PlatformPlain
74,entry_waterworld.mp3,LocationOpener
75,entry_iceworld.mp3,LocationOpener
76,entry_desertworld.mp3,LocationOpener
77,entry_waterworld2.mp3,LocationOpener
78,entry_swampworld.mp3,LocationOpener
79,entry_lavaworld.mp3,LocationOpener
80,entry_mountainworld.mp3,LocationOpener
81,battle_blade.mp3,Combat
82,combat_music2.mp3,Battle
83,elves_and_angels.mp3,PlatformPlain
84,era_of_the_orcs.mp3,PlatformPlain
85,runewarrior.mp3,PlatformPlain
86,kraga_and_braga.mp3,PlatformPlain
87,deadzone.mp3,PlatformPlain
